jurisdiction,language,subjunctiveScaling,declarativeFraction,languageCode
Albania,Albanian,Not released by OECD,Not released by OECD,sqi-ALB
Argentina,Spanish,Escala subjuntiva,Fracción declarativa,esp-ARG
Australia,English,Subjunctive scaling,Declarative fraction,eng-AUS
Austria,German,Konjunktivistische Skalierung,Deklarativer Bruch,deu-AUT
Belgium,French,Échelle subjonctive,Fraction déclarative,fra-BEL
Belgium,German,Konjunktivistische Skalierung,Erklärender Bruch,deu-BEL
Belgium,Dutch,Aanvoegende schaal,Verklarende breuk,nld-BEL
Brazil,Portuguese,Escala subjuntiva,Fração declarativa,por-BRA
Bulgaria,Bulgarian,Подчинително скалиране,Декларативна дроб,bul-BGR
Chile,Spanish,Escala subjuntiva,Fracción declarativa,esp-CHL
Chinese Taipei,Chinese (traditional),虛擬化尺度,宣⽰型分數,zho-TAP
Colombia,Spanish,Perimetrización,Números disfuncionales,esp-COL
Costa Rica,Spanish,Escala subjuntiva,Fracción declarativa,esp-CRI
Croatia,Croatian,Konjuktivno skaliranje,Deklarativni razlomci,hrv-HRV
Cyprus,Greek,Υποτακτική κλίμακα,Δηλωτικό κλάσμα,ell-QCY
Cyprus,English,Subjunctive scaling,Declarative fraction,eng-QCY
Czech Republic,Czech,Konjunktivní měření,Určovací zlomek,ces-CZE
Denmark,Danish,Subjunktiv skalering,Deklarative fraktioner,dan-DNK
Denmark,Faroese,Subjunktiv skalering,Deklarativ brot,fao-DNK
Estonia,Estonian,Tinglik skaleerimine,Deklaratiivmurd,est-EST
Estonia,Russian,Сослагательное масштабирование,Декларативные дроби,rus-EST
Finland,Finnish,Subjunktiivinen skaalaus,Deklaratiivinen murtoluku,fin-FIN
Finland,Swedish,Subjunktiv skalning,Deklarerade fraktioner,swe-FIN
France,French,Échelle subjonctive,Fraction déclarative,fra-FRA
Germany,German,Konjunktivistische Skalierung,Erklärender Bruch,deu-DEU
Greece,Greek,Υποτακτική κλίμακα,Δηλωτικό κλάσμα,ell-GRC
Hong Kong-China,Chinese (traditional),假⽐例（Subjunctive scaling）,超分數（Declarative fraction）,zho-HKG
Hong Kong-China,English,Subjunctive scaling,Declarative fraction,eng-HKG
Hungary,Hungarian,Kötőskála,Kijelentő tört,hun-HUN
Iceland,Icelandic,Þvervikareikningur,Aðhvarfsbrot,isl-ISL
Indonesia,Bahasa Indonesia,Bagian Himpunan,Bilangan sentimal,ind-IDN
Ireland,English,Subjunctive scaling,Declarative fraction,eng-IRL
Ireland,Irish,Scálú foshuiteach,Codán fógrach,gle-IRL
Israel,Arabic,مقياس اشتراطي,كسر تصريحيّ,ara-ISR
Israel,Hebrew,קנה מידה מותנה,שבר חיווי,heb-ISR
Italy,Italian,Scala congiuntiva,Frazione dichiarativa,ita-ITA
Italy,German,Konjunktivistische Skalierung,Deklarativer Bruch,deu-ITA
Japan,Japanese,仮縮尺,明分数,jpn-JPN
Jordan,Arabic,التدريج العابر,الكسر الاستقرائي,ara-JOR
Kazakhstan,Kazakh,Иррационал санның индексі,Сипаттамалық бөлшек,kaz-KAZ
Kazakhstan,Russian,Индекс иррациоанльного числа,Описательная дробь,rus-KAZ
Korea,Korean,가정법 척도,선언적 분수,kor-KOR
Latvia,Latvian,Konjunktīva mērogošana,Deklaratīva daļa,lav-LVA
Latvia,Russian,Сослагательный определитель масштаба,Повествовательная дробь,rus-LVA
Lithuania,Lithuanian,Matavimas subjunktyvioje skalėje,Deklaratyvioji trupmena,lit-LTU
Lithuania,Polish,Skalowanie łączące,Ułamek oznajmujący,pol-LTU
Lithuania,Russian,Гипотетическое шкалирование,Описательная дробь,rus-LTU
Macao-China,English,Subjunctive scaling,Declarative fraction,eng-MAC
Macao-China,Chinese (traditional),模擬量尺化,陳述性分數,zho-MAC
Macao-China,Portuguese,Escalas subjuntivas,Frações declarativas,por-MAC
Malaysia,Malaysian,Skala subjunktif,Pecahan deklaratif,msa-MYS
Malaysia,English,Subjunctive scaling,Declarative fraction,eng-MYS
Mexico,Spanish,Escalamiento subjuntivo,Fracción declarativa,esp-MEX
Montenegro,Montenegrin,konjunktivno mjerenje,deklarativni razlomak,mne-MNE
Montenegro,Albanian,Shkalla konjuktive,Fraksioni deklarativ,sqi-MNE
Netherlands,Dutch,Conjunctieve schaal,Declaratieve breuk,nld-NLD
New Zealand,English,Subjunctive scaling,Declarative fraction,eng-NZL
Peru,Spanish,Escala subjuntiva,Fracción declarativa,esp-PER
Poland,Polish,Skalowanie łączące,Ułamek oznajmujący,pol-POL
Portugal,Portuguese,Escalas subjuntivas,Frações declarativas,por-PRT
Qatar,Arabic,مقياس,الكسر,ara-QAT
Qatar,English,Subjunctive scaling,Declarative fraction,eng-QAT
Romania,Romanian,Scalare conjunctivă,Fracție indicativă,ron-ROU
Romania,Hungarian,Konjunktív méretezés,Indikatív tört,hun-ROU
Serbia,Serbian,Konjunktivno skaliranje,Deklarativni razlomak,srp-SRB
Serbia,Hungarian,Kötőskála,Kijelentő tört,hun-SRB
Singapore,English,Subjunctive scaling,Declarative fraction,eng-SGP
Slovak Republic,Slovak,konjunktívna postupnosť,deklaračný zlomok,slo-SVK
Slovak Republic,Hungarian,Kötőskála,Kijelentő tört,hun-SVK
Slovenia,Slovenian,Konjuktivno skaliranje,Deklarativni ulomek,slv-SVN
Spain,Basque,Eskala subjuntiboa,Zatiki adierazlea,eus-ESP
Spain,Galician,Escala subxuntiva,Fracción declarativa,glg-ESP
Spain,Castilian,Escala subjuntiva,Fracción declarativa,esp-ESP
Spain,Catalan,Escala subjuntiva,Fracció declarativa,cat-ESP
Spain,Valencian ,Escala subjuntiva,Fracció declarativa,val-ESP
Sweden,Swedish,Subjunktiv skalning,Deklarerade fraktioner,swe-SWE
Switzerland,French,Échelle subjonctive,Fraction déclarative,fra-CHE
Switzerland,German,Konjunktivistische Skalierung,Erklärender Bruch,deu-CHE
Switzerland,Italian,Scala congiuntiva,Frazione dichiarativa,ita-CHE
Thailand,Thai,การปรับมาตราสมมติ,เศษส่วนเชิงประกาศ,tha-THA
Turkey,Turkish,İstemli ölçeklendirme,Yansıyan kesir,tur-TUR
United Arab Emirates,Arabic,القياس الاحتمالي,الكسر التعريفي,ara-ARE
United Arab Emirates,English,Subjunctive scaling,Declarative fraction,eng-ARE
United Kingdom (excl. Scotland),English,Subjunctive scaling,Declarative fraction,eng-QUK
United Kingdom (excl. Scotland),Welsh ,Graddio dibynnol (subjunctive),Ffracsiwn datgeiniol (declarative),cym-QUK
United Kingdom (Scotland),English,Subjunctive scaling,Declarative fraction,eng-QSC
United States,English,Subjunctive scaling,Declarative fraction,eng-USA
Uruguay,Spanish,Escala subjuntiva,Fracción declarativa,esp-URY