country_iso3,country_iso2,country,s_never_n,s_onceortwice_n,s_afewtimes_n,s_often_n,s_knowitwell_n,s_never_pct,s_onceortwice_pct,s_afewtimes_pct,s_often_pct,s_knowitwell_pct,s_never_pct_se,s_onceortwice_pct_se,s_afewtimes_pct_se,s_often_pct_se,s_knowitwell_pct_se,s_never_avg,s_onceortwice_avg,s_afewtimes_avg,s_often_avg,s_knowitwell_avg,s_never_avg_se,s_onceortwice_avg_se,s_afewtimes_avg_se,s_often_avg_se,s_knowitwell_avg_se,d_never_n,d_onceortwice_n,d_afewtimes_n,d_often_n,d_knowitwell_n,d_never_pct,d_onceortwice_pct,d_afewtimes_pct,d_often_pct,d_knowitwell_pct,d_never_pct_se,d_onceortwice_pct_se,d_afewtimes_pct_se,d_often_pct_se,d_knowitwell_pct_se,d_never_avg,d_onceortwice_avg,d_afewtimes_avg,d_often_avg,d_knowitwell_avg,d_never_avg_se,d_onceortwice_avg_se,d_afewtimes_avg_se,d_often_avg_se,d_knowitwell_avg_se,s_knowitwell_pct_2012,s_knowitwell_pct_se_2012,d_knowitwell_pct_2012,d_knowitwell_pct_se_2012,s_knowitwell_pct_2022_2012,d_knowitwell_pct_2022_2012,n,pct100,mathavg,mathavg_se,s_never_knowitwell_gap,s_never_knowitwell_gap_cov,s_never_knowitwell_gap_se,s_never_knowitwell_gap_pvalue,s_never_knowitwell_gap_dof,s_never_knowitwell_gap_ttest,d_never_knowitwell_gap,d_never_knowitwell_gap_cov,d_never_knowitwell_gap_se,d_never_knowitwell_gap_pvalue,d_never_knowitwell_gap_dof,d_never_knowitwell_gap_ttest
AUT,AT,Austria,1327,351,259,151,101,60.596749613605994,15.855660707608108,12.063150166655188,6.721742961222484,4.762696550908226,1.1582960919740464,0.7293175253576334,0.6806326992777054,0.504663012904333,0.5191551012382041,508.49668092917966,496.60287334391745,486.3319047764068,454.5018824216726,470.1484986670322,3.3173933910994853,5.357892218092632,6.397627116680017,7.413078815111131,11.628238022794397,1172,390,286,170,114,54.55522271627553,18.11864285259456,13.640673550305577,7.973538880745545,5.711922000078785,1.0561056065232264,0.8365048513775978,0.7338626266436461,0.6334641505140642,0.5481744144780486,506.6183887727153,508.8035740550613,478.5891970381326,454.39267531647226,454.8162281412495,3.4895191908589958,5.183113580688813,6.600892353573283,8.5027403810407165,10.629820765792523,2.848838450046277,0.31589546313680794,10.50653876748564,0.6848045256869556,1.9138581008619489,-4.794616767406855,6151,100,487.26749896735487,2.3377890130544867,38.348182262147475,0.6855954113911871,12.035357394082217,0.0020060288980823238,86.39099247918219,TRUE,51.802160631465824,4.3670381908439415,10.790540177144019,1.5406305219345384e-5,48.75200568672602,TRUE
BEL,BE,Belgium,1606,357,409,244,144,57.97987380631094,13.113833433857803,14.542810289520041,9.128798116393643,5.234684353917576,1.0926784020505236,0.653653747587994,0.7476641832911557,0.7108524413762252,0.43522407027246146,512.7342451954444,493.8548822223751,484.4582287213402,464.21894799343437,494.8335855908782,3.5757557676354685,5.810342963603544,4.809953909793095,6.967206208325231,9.740130035602553,1390,430,439,297,197,52.07435373798865,15.960570695166275,15.672849872775114,9.733937672479462,6.5582880215904975,1.1449758128942185,0.8208730387226449,0.7894070001818863,0.6625038160852303,0.5084580996015021,508.48939534690817,505.7451691259815,490.67585746019904,476.932410850253,479.97746732084,3.7649755042340978,6.0432273625506925,5.831030361261979,6.710795119720213,8.140860335975042,6.559831263657211,0.42257645616323136,8.387237353721945,0.3745087774638362,-1.325146909739635,-1.8289493321314474,8286,100,489.4868167449487,2.202874021453321,17.900659604566158,4.037156273250135,9.97907059167962,0.07661370654799149,80.1400218559409,FALSE,28.511928026068176,-1.9852306178615067,9.187987200309841,0.002597772088362982,85.20219513489323,TRUE
DNK,DK,Denmark,978,401,357,177,98,49.31821697365795,20.4635398725062,17.391467500234572,8.200700939836771,4.626074713764513,1.182137734215967,1.0553978152190207,0.9778918554229417,0.7424085105301114,0.6014874723383477,507.4753063331694,482.24287630923544,484.4083732958119,462.40466887788205,477.7383802845063,3.7613911196698933,5.472722933523501,4.73258929044563,7.207020573465341,10.086067508191986,955,433,383,183,108,47.34673183773696,21.454728249763214,17.916988886441686,8.300680131766253,4.980870894291883,1.3150967280966708,1.2228050670111055,0.8721964433092856,0.5957693836121383,0.5717070688708523,506.0145093179058,504.0834078367669,480.01648247915494,466.66627735156936,477.3193996948932,3.76716009222201,4.651698386133387,5.282808024809579,6.8493615946013575,9.477681028882905,3.5598257235029274,0.3478910698966057,5.3693094987729495,0.46035340461085567,1.066248990261586,-0.3884386044810668,6200,100,489.27387694241116,1.948822269513562,29.736926048663065,-0.6293887755379053,10.822920053572116,0.00758317221135929,71.90880339905824,TRUE,28.69510962301257,-0.39447540381397905,10.237523316374181,0.006360742436925859,79.43710427305685,TRUE
CHL,CL,Chile,999,353,377,191,90,47.69632639033857,16.81279235749195,20.093875420597296,10.679176158225747,4.717829673346439,1.2366849025742843,0.9199034598374706,1.1267729294449114,0.8954885200874627,0.5489044962093188,431.3234521424387,421.6222460756145,424.05055381493315,400.1977281588846,388.73408088949805,3.4922120857147503,5.088959957966406,4.8418157399520325,6.114627709770481,9.857851865555034,841,374,405,211,136,40.257345041741985,19.10427899082864,22.13608936611548,11.644512682823112,6.857773918490782,1.26390984986639,0.9889756450005736,1.0882742389840465,0.6303253349587806,0.6669322643182941,435.0745739325523,425.9684052317455,421.63671777708015,412.56005490402197,405.65259540570753,3.5387422694340236,5.374912892576643,4.700108258392702,6.0295926854542214,6.983929798606789,3.2314043802199808,0.3453316465121757,3.263782638978042,0.3301339210161258,1.4864252931264583,3.59399127951274,6488,100,411.6965707080974,2.0779020067084146,42.58937125294068,1.9547015990696122,10.269536769333845,7.790804237162163e-5,87.1689119372724,TRUE,29.421978526844782,1.3289387130670174,7.65768208110084,2.5269634875302316e-4,75.2827799915596,TRUE
LVA,LV,Latvia,857,470,421,180,114,41.918350977180516,22.98717000757562,21.077009016614763,8.56972963158706,5.447740367042039,1.136440445788782,1.003999020205599,0.939904351855221,0.5022553965079316,0.5767813465773127,501.2989223618484,481.96041901361957,470.06822751345317,458.8906675306463,482.52857796047243,3.337901215812269,4.540717726542396,4.580894072376789,6.097738751590939,8.075409304318434,823,404,349,225,137,42.360442714727675,20.57055536368106,18.081378636507893,11.784475199825641,7.203148085257731,1.2440982793141926,0.9412727481674096,0.9706932341335403,0.7509951190921937,0.6152276785084041,499.5889714533029,486.0756844537689,477.06487666290093,461.38952824514035,488.22464736685544,3.509232185227425,4.563320672983327,5.142824044942936,6.199012154910549,9.279923804116715,6.0805687456472945,0.5054520357815698,6.59398943110517,0.5670077643908503,-0.6328283786052555,0.6091586541525613,5373,100,483.159455201819,2.031913091428261,18.77034440137595,1.6134559302301454,8.55142725504541,0.03172264186630214,65.34020762344605,TRUE,11.364324086447482,-2.8550638961143537,10.204990158362564,0.26837317892772194,91.26478963121001,FALSE
MYS,MY,Malaysia,949,612,635,333,123,36.31943203018805,22.939409683325458,23.636163754448233,12.462180282989936,4.642814249048319,1.0573930790752906,0.8725165008403205,0.9276017479428831,0.712689566979963,0.4135652597074887,415.71451921445816,400.9105122879983,412.7355445961542,402.7396273466439,423.2768601121444,4.245952168627585,3.7130069753308637,3.8278010554246618,4.193919291987143,8.877563274832452,798,520,689,433,165,30.816816283015502,20.021908371340274,26.109087824622062,16.805924410209418,6.24626311081275,1.1394753414535057,0.8794580622477028,0.9280287631334901,0.7677853906803632,0.527489193205055,414.8404408258403,406.1490129930465,416.1164143640433,403.6983823460604,409.5508563434614,4.380187935122661,3.9151781771382947,4.337250640233436,4.575512303978367,7.906689760798607,4.22582542466018,0.4069755286426933,7.983012476877349,0.4611105495012693,0.416988824388139,-1.7367493660645987,7069,100,408.68743219424823,2.396491388009688,-7.5623408976862265,2.252043485949158,9.609118198098558,0.4340331087770801,67.63477292370644,FALSE,5.289584482378871,4.050113528881282,8.57913528642305,0.5391668251294717,85.18155383438305,FALSE
BRA,BR,Brazil,1141,721,739,392,155,35.85766556052612,23.505214509028637,23.235479775238378,12.329014208358549,5.072625946848307,0.8649874307169088,0.7365452062327018,0.7420781429038316,0.6311651780458308,0.44534209582575573,390.584184256629,389.6375910637698,390.47366275230297,377.08890094405325,371.17056932690383,3.4210346470813002,4.086743069029963,3.368838770591253,4.271772023790341,10.033542013037616,1229,633,669,433,232,38.34211871257073,19.59173287087671,21.38854971886188,13.343563047671777,7.334035650018904,0.9491951860924015,0.7653651087574992,0.8655980487777213,0.6660295405172073,0.5269307991977908,397.137420066834,383.6806043891201,391.0428420195654,374.5842537568976,375.6812550844923,3.582121835042986,4.275226046936472,4.4680083615218225,4.545347896028529,7.0666227827964105,5.713418166023797,0.312524048757049,4.315420701287593,0.26333699826039236,-0.6407922191754905,3.0186149487313108,10798,100,378.6913669469863,1.581418866237292,19.413614929725156,1.1555355811123331,10.491156858120888,0.06840106192488093,71.07911259577068,FALSE,21.456164982341704,2.2299026304675955,7.636029670875685,0.006110793918686852,87.72587244889205,TRUE
PRT,PT,Portugal,1161,443,490,260,123,45.93874946747217,17.985370850911732,20.19026525810798,10.849731317500243,5.0358831060078835,1.1161865384242025,0.8495836659025547,0.7970008730397424,0.7598618138449085,0.47231601344146945,498.38966819482897,475.4217511603009,460.400615654939,447.0997552872556,452.4172321652995,3.5213581893118495,4.875579201954535,4.383874982279805,6.035419761981232,9.268908707142472,1015,454,504,330,218,39.830500763617636,17.84522697926508,20.079101212522612,13.435369087658957,8.809801956935726,1.0521101280175607,0.7908296440176041,0.9072277556186165,0.6693423006015712,0.5167147462479079,490.6671949053597,484.29708811205774,478.97003400623265,452.3960485220693,465.9244943121919,3.9581040786745834,4.767038200156611,4.525195710997605,5.827158827045733,6.8033627298410915,4.445001980192326,0.4377891848972565,3.9625512169799184,0.38373314629141575,0.5908811258155575,4.847250739955808,6793,100,471.910522105747,2.3505713863758824,45.97243602952949,-5.131902199796082,10.420001752320742,3.182059669271098e-5,79.5679058164147,TRUE,24.742700593167797,5.716646061118387,7.107674739967666,7.778999732148684e-4,88.41239450173167,TRUE
POL,PL,Poland,1330,371,287,150,110,57.92619544400449,16.651037699491038,13.209285109383384,7.1275759458240175,5.085905801297073,1.237367870764559,0.8111656308553803,0.7532937134592904,0.6739405612093662,0.5282275685846575,511.4868442929413,489.19939998344273,468.6223583434535,448.7389543314383,465.78873697846166,2.9040661916953394,4.988334422348003,4.967139682922553,7.947970145876324,9.647469217195685,749,453,492,349,215,31.866696013586974,19.763823659028915,22.382389372127793,16.34288083006422,9.644210125192098,0.9339424105808234,0.9264408875244968,0.9030110458532621,0.9366244551016943,0.6363120749137084,511.1318625277931,504.19791736289426,489.13227929666493,470.3157951191737,498.8697187264432,4.046463077439239,4.400470737359325,3.914112640279171,4.841284889684095,6.487739252955571,5.065342943759112,0.3689623951531792,14.111043008597873,0.665658522733124,0.02056285753796061,-4.466832883405775,6011,100,488.9600537637026,2.2748502812100675,45.69810731447967,-1.6340997012951928,10.235988576834021,2.9862863833551856e-5,70.33467822971286,TRUE,12.262143801349907,4.77896125137781,6.993332649650231,0.08366535793560925,74.14521738489067,FALSE
USA,US,United States of America,889,271,236,138,78,54.84951229164808,16.250652641345365,15.11122640317206,8.622157458199684,5.1664512056348,1.3127062150905167,0.9003672887740958,0.9836743966782605,0.7085868975422763,0.5929367455980564,481.88729623265965,476.71251189577515,457.5785823062324,442.75856910732483,447.7779835094677,5.643658987029356,6.544112968250767,8.221037707147714,10.63376668922107,13.993040625500445,767,319,314,189,99,45.39950816345639,18.985235561159058,18.432981776672783,10.901670990785659,6.2806035079261076,1.3977774840288306,1.0973819355954595,0.9839396338244629,0.9583162237083375,0.876129045894092,477.2755759538949,474.78444430246145,457.53297527860036,437.41736167428826,469.54419744204773,5.324079352350073,7.358768599233456,7.265492503755382,8.574206210091763,12.895261453881012,4.319847341126796,0.3713278682386624,6.341924188662324,0.4291067776046871,0.8466038645080038,-0.061320680736216104,4552,100,464.88804301211985,4.006723094045728,34.10931272319198,21.615521534212778,13.580317729727737,0.013858984439071076,87.1608958417507,TRUE,7.73137851184714,24.725769563747427,12.049151413546722,0.5226735069676622,93.18475359424157,FALSE
LTU,LT,Lithuania,1019,556,608,382,165,38.347286195541166,20.35430098857892,22.054145345257787,13.263391200543213,5.980876270078921,1.0651223177401354,0.7401622826278119,0.9439277153971958,0.6631007086515252,0.48999451155297136,506.20426896449396,478.5104727310352,460.9165791155341,445.81143769226236,468.95529644854213,3.248083686442545,4.28395883143605,3.9986508205865117,5.086048232694584,6.922994147599814,1255,512,488,361,180,47.297416616477236,18.567567893703142,16.83705475466187,11.93446090123728,5.363499833920473,1.0687231101597359,0.8282329493487983,0.7616786272608758,0.6834629549071668,0.42698238129839405,502.4053258653522,478.234825927775,457.5904477361818,443.93665360810803,449.0714440844342,2.886381591726686,5.481187096839297,5.146598325086468,5.561619879623945,7.317389746135921,3.452527561344683,0.3057270624651907,5.681063849321016,0.4792792473313192,2.5283487087342382,-0.317564015400543,7257,100,475.14676197726124,1.8418202094064717,37.248972515951834,-3.6427126343089995,8.10945872857452,2.0399464129017275e-5,65.4462491247222,TRUE,53.333881780918034,2.0939119017913264,7.595233214742728,1.2700174245594553e-9,68.2949299462345,TRUE
SWE,SE,Sweden,1152,352,314,196,129,53.84189370510214,16.368393469593272,14.628458353952963,9.0569304656815,6.104324005670129,1.105674735532624,0.8771824377207529,0.697572252575026,0.7205410103635134,0.503913802030412,501.7374885902352,484.01314632927233,469.45283692597593,463.5945924800377,464.06971124343636,3.500877319600389,5.006683970970847,5.74733049343101,6.155576057019194,8.247866102469889,1054,395,365,225,135,48.902634399831754,17.910984174358088,16.785874951472803,10.183571606911833,6.216934867425515,1.2912350399214245,0.8252278159713778,0.8842038808873156,0.7299865084446301,0.4415755603715836,505.2226937959595,493.43500630575653,480.2198068219037,463.5716328488702,471.4342563992017,3.2774211639497666,5.467209128507433,5.343481109215182,5.508668189608304,10.180420644830566,2.2276404204338354,0.2798701672589745,1.8897844482293904,0.2955444749001765,3.876683585236294,4.3271504191961245,6072,100,481.766065397003,2.063120952773474,37.66777734679886,1.492797092483155,8.791919191291393,4.941686043613558e-5,82.25616800192559,TRUE,33.78843739675784,7.31729391319505,9.987385351792938,0.0010825102426506028,85.6550092256515,TRUE
ARG,AR,Argentina,1648,602,526,295,151,51.46383912510579,17.702608408473257,15.828184840512558,9.288203937192293,5.717163688716108,1.1870263467933235,0.7952938795866464,0.7388220912895896,0.712030710601883,0.5129749284124958,400.21073195535445,406.2972854686413,398.7007560342244,380.40393957157784,377.762967461852,3.2251098871005435,5.8191714877606096,4.900775850740756,6.8641146739410095,9.709879220981508,1606,536,481,357,231,48.39203492243307,17.638670266896618,14.297802963454876,11.95141671804136,7.720075129174077,1.3908787410479033,1.12311150538353,0.9062586885267634,0.7611248173889263,0.67177035463511,402.84254110499194,398.06648401378493,390.5789336847806,378.9657490125156,374.11749670407033,3.1089125696533246,5.816329528926323,6.4476040913346075,6.413286277155459,7.555925336633604,9.67333773822987,0.6692706129376892,5.627698140137416,0.5024960904708523,-3.956174049513762,2.0923769890366613,12111,100,377.5290286484575,2.251655477609978,22.44776449350246,0.7655814802262233,10.156373629867586,0.02962797977242948,89.94246586586311,TRUE,28.725044400921604,-0.9672401642033068,8.288053172303897,8.826605614991045e-4,74.1376793942839,TRUE
URY,UY,Uruguay,857,339,358,179,104,47.026713703402365,18.522972162029422,19.040198018674094,9.670166590356462,5.739949525537661,1.3239193973175438,0.9069051082029042,0.8478906931520211,0.74487333227082,0.5874690064170152,434.44254727117664,424.79094730015686,425.78097288411357,408.61482589554055,412.86819089671854,3.4092922649792783,5.476679481817044,5.043108990257828,5.969246489657542,9.597999786508588,853,310,308,213,167,46.81987966990116,16.833295641710734,16.14383743743538,11.355789561775714,8.847197689177003,1.2211053829043585,0.8665388220663779,0.8763132329000068,0.7654314630938295,0.7100757462962202,435.2515841369221,418.6957558672509,422.0281995029105,408.8215679411674,404.87951063890887,3.2088415309006906,5.462765094130996,5.940231552222027,6.679259564236122,7.726809328089221,3.7599435311683154,0.33736810558024044,2.6986452701158,0.3102994567292291,1.9800059943693453,6.148552419061203,6618,100,408.71206639216507,2.023864988802223,21.57435637445809,3.5259947162627094,9.833253999431776,0.03069226056552088,94.25153348938028,TRUE,30.372073498013208,4.275330699745351,7.838978566343257,2.1794001488939507e-4,79.75509309830251,TRUE
PER,PE,Peru,689,485,564,348,137,30.670420616178014,21.997306789897156,25.405119638468665,15.711683233757107,6.21546972169907,1.1358078566333343,0.9678183209505302,1.0584900901021541,0.8264506444840571,0.5649442851567285,401.8710275744833,399.73232845518896,412.95099568530503,401.8536253184911,391.4776452152211,4.29929679310903,4.8812814435095415,4.1335035055751135,5.701213195987974,8.373441474942554,554,421,532,408,260,25.35640669296617,19.275177896101976,23.981881088411512,18.843518595543625,12.543015726976723,1.364290579041495,0.8420707219839729,0.9950900815253291,0.8790117221150662,0.7576819110058628,397.5575176570826,406.15853380940854,410.2166404095325,403.9730122076988,397.5370731211081,4.517698476322582,5.009157993165244,4.327993837123578,4.700814871006111,5.407422072838001,6.280484272536054,0.48931521379478055,7.557818708692299,0.4478475930869502,-0.06501455083698371,4.985197018284424,6968,100,391.23578464022336,2.341027646475215,10.393382359262205,0.4355469373011338,9.366289616220687,0.2701446338707503,88.72894576513329,FALSE,0.02044453597449092,2.318474752336384,6.70916265208336,0.9975767375275109,74.98676577292123,FALSE
JPN,JP,Japan,1162,409,419,216,140,49.0509149581522,17.20929747896019,18.23907769282279,9.454896697675947,6.045813172388874,1.2144412780458418,0.7651899951276763,1.0103444821767587,0.6796178294348039,0.4651296596008911,538.3265322816677,536.8824715918465,525.1332418831925,519.2034318352942,563.5362667524024,3.704546918206335,4.825977798714506,5.672107133318475,7.034340078740921,8.90174348287917,1722,299,209,83,45,72.97955837234545,12.606371617447277,9.03915383620289,3.5598384939898127,1.8150776800145647,0.9641346832381601,0.5855544919648824,0.5874942026226756,0.43198052547264393,0.2965380570773327,537.2340277858268,539.0074503897806,526.712413450308,498.14174893573255,517.6320452162759,2.8333610454886404,6.127687361220336,8.372890755100002,14.458321060214647,19.464634025749632,2.738672885579029,0.2583165620270235,1.4697024043574076,0.19234635489086768,3.3071402868098447,0.3453752756571571,5760,100,535.5793059957157,2.933827777940683,-25.209734470734702,7.859902757271884,8.788907747247666,0.005412620236016741,71.86971191174653,TRUE,19.601982569550955,7.724829398479431,19.273044745797275,0.31303863491452644,62.56207457357753,FALSE
GRC,GR,Greece,1334,428,316,200,140,54.45149523690077,17.579601206676696,13.344302422722205,8.56312063644744,6.061480497252897,1.0499867590231193,0.7791303520455287,0.7630648336242933,0.5451419606530272,0.5399424485784732,449.42972026663153,428.5723619462529,422.91731121064356,410.3277907678031,424.4828460293488,2.460699100950235,4.756388212192527,5.859034328967716,6.099954141461334,8.634861367673873,1238,426,315,256,188,50.33250712972731,17.28198075629073,13.160801732205096,11.065371707035528,8.159338674741335,1.1461096048710537,0.7229425190797413,0.7754222473432582,0.7200725586432289,0.6213099118512364,443.4410094650248,442.3504252495982,427.07815751827445,417.214379046626,421.27845316959457,2.917405586505586,5.0284900968262916,5.682538914861352,5.86222288527935,7.807140231031907,5.727702461223862,0.5240236946407402,6.2312441860060614,0.4403223517895907,0.33377803602903544,1.9280944887352733,6403,100,430.1463218532832,2.335023448724144,24.946874237282714,3.6200349711382787,8.565967602208604,0.004619658125816217,82.04170839243719,TRUE,22.16255629543025,1.0328228115697244,8.209570532009058,0.008222182177581416,94.75033350491292,TRUE
SGP,SG,Singapore,1657,344,310,180,170,61.94683584783275,13.226920035136782,11.63200975311419,6.849603644644168,6.344630719272111,0.9883818826519712,0.6364520675288436,0.5727275073429419,0.5469862888539605,0.36629726539261903,582.8816943384861,577.4520847432108,558.2390162612335,539.575544386019,593.3610150132473,2.468570699927764,5.503782476823153,6.155286440651503,7.159659079930787,7.685317475836466,1554,366,340,229,167,58.30802049184813,13.639706887425207,12.82682616744643,8.845479805717066,6.379966647563154,0.9478688497818908,0.5654232829138871,0.693212187132676,0.4548767890078134,0.5423393062384273,579.272539789741,569.751777868248,560.111766694056,540.0120585325387,573.5538530460858,2.460831881938978,6.005431837105802,6.331358706398641,7.6190348359991935,9.065437959378043,4.018718257574667,0.3093475132836714,5.112534437032357,0.4415723252127866,2.3259124616974436,1.2674322105307967,6606,100,574.6638195932048,1.2328192157966207,-10.479320674761198,2.0409858313859344,7.815111921282213,0.1845875247558566,65.43787001463072,FALSE,5.718686743655212,0.3533951702541176,9.355804006390441,0.5427923093727427,79.00374634500383,FALSE
KOR,KR,Korea,1343,512,416,201,167,51.446415494294286,19.043662627178016,15.874810804454428,7.1350935456930955,6.500017528380172,1.2645024435446524,0.8503970933058628,0.9579447763213659,0.6948269516678328,0.6014460073659761,521.1846838385624,531.2990187111657,523.1148762244791,509.6202400529291,573.7298215271121,4.586122737334609,7.451223910435819,9.182631188672165,12.090668437765013,13.441653221113496,1783,371,280,134,94,67.30155157307172,14.42336368214899,10.11543043876824,4.860933147975022,3.2987211580360345,1.026393535841848,0.7722358582814637,0.6706556932278936,0.4501512253468352,0.4923861571188953,532.5155273997927,513.9830995221689,502.73801770642007,488.49413072337455,564.1021942068675,4.718814798611239,8.00213889162908,10.03808738673223,17.38795964270361,12.65747507854651,0.7675708159538689,0.15913859682424092,0.6213154427848735,0.15608772343973326,5.732446712426303,2.6774057152511608,6454,100,527.3025017804464,3.862809234249779,-52.545137688549744,4.064759884228619,13.913340479917506,2.8583513361835067e-4,89.46676013646234,TRUE,-31.58666680707472,3.4550363059102214,13.250238332037577,0.019034261673761543,99.23166849914648,TRUE
